Listing ID,Name,Airbnb URL,Latitude,Longitude,Google Maps URL,Property Type,Room Type,Bedrooms,Bathrooms,Accommodates,Rating (out of 100),Reviews,Host ID,Host Name,Host Listings Count,Minimum Nights,Cancellation Policy,Cleaning Fee (USD),Extra People Fee (USD),Avg Daily Rate LTM (USD),Avg Occupancy Rate LTM (%),Annual Revenue LTM (USD),Revenue Potential (USD),Active Days LTM,Number of Bookings LTM,Allows Pets,Has License,License,Added On,Last Seen,LTM Performance Last Updated,Amenities - Parking,Amenities - Hot Tub,Amenities - Gym,Amenities - Pets,Amenities - Dryer,Amenities - Washer,Amenities - Pool,Amenities - Kitchen,Amenities - AC,Amenities - WiFi,Amenities - Heating,Amenities - TV,Amenities - BBQ Grill,Amenities - Fireplace,Amenities - Breakfast,Amenities - Beachfront,Amenities - Amazing Views,Booking.com URL,VRBO URL,Photo URL
27317763,Heavenly Qantab,https://airbnb.com/rooms/27317763,23.5544,58.62569,"https://www.google.com/maps?q=23.5544,58.62569",Entire rental unit,entire_home,2,1,4,100,212,205820235,Ahmed,8,1,f,8,,74,67,18241,18241,365,18,0,f,,,1/16/2026,,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,,https://a0.muscache.com/im/pictures/72905fb6-caca-490b-a05c-d9459fa36dfb.jpg?aki_policy=large
808642875555173925,وسط المدينه مسقط ،قريب المطار غرفة خاصة في شقة,https://airbnb.com/rooms/808642875555173925,23.58757,58.36552,"https://www.google.com/maps?q=23.58757,58.36552",Private room in condo,private_room,1,2,2,100,116,484942411,Hassan,,1,m,0,5,30,61,6680,6680,365,28,0,f,,2/23/2023,1/16/2026,,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,https://a0.muscache.com/im/pictures/365f11f3-0ae1-48cb-b986-12e73398704b.jpg?aki_policy=large
877565238069091442,Unique & Elegant Penthouse ~ Sea & Pool View,https://airbnb.com/rooms/877565238069091442,23.63021,58.27064,"https://www.google.com/maps?q=23.63021,58.27064",Entire rental unit,entire_home,1,2,2,100,109,273843938,Luxurious Residence,,1,f,0,,112,81,33113,33113,365,29,,f,,5/22/2023,1/16/2026,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,https://a0.muscache.com/im/pictures/miso/Hosting-877565238069091442/original/a8818f31-1de2-4482-91e3-8d679d0e3bb3.jpeg?aki_policy=large
895732447958034582,Luxurious Flat  in Ghubrah beach,https://airbnb.com/rooms/895732447958034582,23.601,58.4,"https://www.google.com/maps?q=23.601,58.4",Entire condo,entire_home,2,5,5,100,106,502336150,Bader,,2,m,0,,105,77,29510,29510,365,22,,f,,7/31/2023,1/16/2026,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,,,https://a0.muscache.com/im/pictures/hosting/Hosting-895732447958034582/original/6d42f8ab-2a2f-4c54-a4e9-3eeaa42bacab.jpeg?aki_policy=large
911500681478107995,Luxury Apartment in Boshar,https://airbnb.com/rooms/911500681478107995,23.57351,58.41219,"https://www.google.com/maps?q=23.57351,58.41219",Entire rental unit,entire_home,1,2,2,100,103,505924375,Yousef,,1,f,0,52,82,50,14965,14965,365,30,0,f,,7/31/2023,1/16/2026,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,,,https://a0.muscache.com/im/pictures/miso/Hosting-911500681478107995/original/c6e5768d-1b3f-47e4-8d89-826e8f2604af.jpeg?aki_policy=large
50981419,Sunrise apartment,https://airbnb.com/rooms/50981419,23.56156,58.62916,"https://www.google.com/maps?q=23.56156,58.62916",Entire rental unit,entire_home,3,2,4,100,94,171534241,Abdullah,8,1,f,0,,70,78,19929,19929,365,25,0,f,,9/21/2021,1/16/2026,,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,,,https://a0.muscache.com/im/pictures/0e9a503d-a462-4a4e-a707-f11767c42f5d.jpg?aki_policy=large
917588119502356047,Muscat Governorate Matrah's mandate Port District,https://airbnb.com/rooms/917588119502356047,23.624,58.561,"https://www.google.com/maps?q=23.624,58.561",Entire rental unit,entire_home,2,2,4,100,93,517858478,Essa,,1,m,0,,57,60,12483,12483,365,15,0,f,,7/31/2023,1/16/2026,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,,,https://a0.muscache.com/im/pictures/689877e6-7e28-4cec-ad45-fe81136e7698.jpg?aki_policy=large
32249542,Al Zumorod Luxury Villa,https://airbnb.com/rooms/32249542,23.68333,58.15019,"https://www.google.com/maps?q=23.68333,58.15019",Entire villa,entire_home,3,5,6,100,85,235417501,Ameera,1,2,f,0,,142,76,39391,39391,365,18,0,f,,,1/16/2026,,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,,https://a0.muscache.com/im/pictures/hosting/Hosting-32249542/original/8fcba380-083e-4ce2-8f63-2fbca6a71b8b.jpeg?aki_policy=large
53677714,The Walk Flat,https://airbnb.com/rooms/53677714,23.62906,58.26898,"https://www.google.com/maps?q=23.62906,58.26898",Entire condo,entire_home,1,2,4,100,66,434715654,TheFlat,4,1,f,39,260,127,69,33077,33077,365,28,,f,,1/6/2022,1/16/2026,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,https://a0.muscache.com/im/pictures/56d246b6-30b5-4760-b474-1d375ae36146.jpg?aki_policy=large
1133801354623041896,One bedroom apartment 1,https://airbnb.com/rooms/1133801354623041896,23.56047,58.40923,"https://www.google.com/maps?q=23.56047,58.40923",Entire rental unit,entire_home,1,1,3,100,63,202748922,Mohammed,,1,s,26,,61,88,20191,20191,365,23,,f,,4/23/2024,1/16/2026,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,https://a0.muscache.com/im/pictures/hosting/Hosting-1133801354623041896/original/2d89da74-4e51-45d7-be53-d300c75e1a2d.jpeg?aki_policy=large
831840703244599749,Prestine Beach and Comfortable Cottage OGP2904,https://airbnb.com/rooms/831840703244599749,23.56232,58.62848,"https://www.google.com/maps?q=23.56232,58.62848",Entire cottage,entire_home,1,1,4,90,50,45785295,Vincent,,1,f,26,26,63,45,11180,11180,365,32,,f,,5/22/2023,1/16/2026,,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,,https://a0.muscache.com/im/pictures/miso/Hosting-831840703244599749/original/d7fda9a4-261e-49f4-9bd4-8bb32b9893d8.jpeg?aki_policy=large
866317012612995357,Comfortable/Clean and Affordable Place OGP1797,https://airbnb.com/rooms/866317012612995357,23.59363,58.44254,"https://www.google.com/maps?q=23.59363,58.44254",Private room in home,private_room,1,1,3,90,40,45785295,Vincent,,1,f,26,10,21,54,4763,4763,365,24,0,f,,5/22/2023,1/16/2026,,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,https://a0.muscache.com/im/pictures/hosting/Hosting-866317012612995357/original/abc50cc8-010c-4542-9b7d-76315ec930bd.jpeg?aki_policy=large
1120196181840663475,2Bedroom apt close to QurumPark,https://airbnb.com/rooms/1120196181840663475,23.621,58.502,"https://www.google.com/maps?q=23.621,58.502",Entire rental unit,entire_home,2,3,4,100,38,214373574,Ahmed,,1,-1,,,64,55,12848,12848,365,27,0,f,,10/1/2024,1/16/2026,,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,,https://a0.muscache.com/im/pictures/miso/Hosting-1120196181840663475/original/9b5941b6-a1f8-47e9-82a6-6e05aaffe1fd.jpeg?aki_policy=large
837544410033473543,Prestine Beach and Comfortable Apartment OGP2903,https://airbnb.com/rooms/837544410033473543,23.56015,58.62746,"https://www.google.com/maps?q=23.56015,58.62746",Entire rental unit,entire_home,2,2,6,90,37,45785295,Vincent,,1,f,26,26,78,57,17060,17060,365,32,,f,,5/22/2023,1/16/2026,,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,https://a0.muscache.com/im/pictures/miso/Hosting-837544410033473543/original/ddbe6d51-2132-409a-804f-9fc621c71a9f.jpeg?aki_policy=large
905758104420694694,"The Balcony/Entire penthouse
Bays and Marine view",https://airbnb.com/rooms/905758104420694694,23.617,58.558,"https://www.google.com/maps?q=23.617,58.558",Entire rental unit,entire_home,1,2,2,90,30,314630767,Tiinaaa,,1,s,0,0,74,50,13505,13505,365,40,0,f,,7/31/2023,1/16/2026,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,,,https://a0.muscache.com/im/pictures/3479cc01-e248-41e5-8804-d05ecc10480a.jpg?aki_policy=large
1098248186894487178,Siraj Cozy 5 mins Airport,https://airbnb.com/rooms/1098248186894487178,23.62801,58.26643,"https://www.google.com/maps?q=23.62801,58.26643",Entire rental unit,entire_home,2,2,5,90,26,434715654,TheFlat,,1,f,39,104,128,60,28773,28773,365,19,,f,,3/5/2024,1/2/2026,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,https://a0.muscache.com/im/pictures/hosting/Hosting-1098248186894487178/original/46c6b79e-5d6d-42e5-aa73-b8a2439c49b5.jpeg?aki_policy=large
